COMMUNICATIONS RESOURCE AVAILABILITY WORKSHEET,,,,,,,Frequency Band,,,Description,
,,,,,,,Amateur,,,20230505,
,,,,,,,,,,,
Ch #,"Channel
Configuration",Display Name,Channel/Repeater Name,RX Freq,"N/W
L/C/U","Rx Tone,
CC/TS/TG",TX Freq,"N/W
L/C/U","Tx Tone,
CC/TS/TG",Mode,Remarks
Analog Voice — VHF High (2m),,,,,,,,,,,
V43,Repeater,V43LED,K7LED Rattlesnake,146.8200,W,CSQ†,146.2200,W,103.5,A,NTS; SATERN
V45,Repeater,V45BEA,BEARS Tiger VHF,145.3300,W,CSQ†,144.7300,W,179.9,A,K7NWS Tiger Mt W
V46,Repeater,V46MSV,MST VAMC VHF,146.9000,W,CSQ†,146.3000,W,103.5,A,MST Tactical; WW7MST
V47,Repeater,V47BLD,Baldi Mt,147.1400,W,CSQ,147.7700,W,123.0,A,WB7DOB Baldi Mt; WA EMD
⋮,,,,,,,,,,,
V51,Repeater,V51KRK,Kirkland VHF,145.4900,W,CSQ,144.8900,W,103.5,A,K7LWH Bellevue
V52,Repeater,V52RED,Redmond VHF,145.3100,W,CSQ†,144.7100,W,103.5,A,KC7IYE Redmond
V53,Repeater,V53MRC,Mercer Is VHF,147.1600,W,CSQ†,147.7600,W,146.2,A,W7MIR Mercer Is
V54,Repeater,V54ESF,ESFR VHF,147.1000,W,CSQ†,147.7000,W,123.0,A,KC7RAS Cougar Mt
V56,Repeater,V56MPV,Maple Valley,147.2600,W,CSQ†,147.8600,W,103.5,A,KF7NPL Maple Valley
V57,Repeater,V57KNT,Kent VHF,147.3200,W,CSQ†,147.9200,W,103.5,A,K7CST Kent
V58,Repeater,V58AUB,Auburn VHF,147.2400,W,CSQ†,147.8400,W,123.0,A,K7SYE Auburn
V59,Repeater,V59HLN,Highline ARC VHF,146.6600,W,CSQ†,146.0600,W,103.5,A,NC7G Seatac
V60,Repeater,V60FDW,Federal Way VHF,147.0400,W,CSQ†,147.6400,W,103.5,A,WA7FW Federal Way
V61,Repeater,V61BTH,Bothell,147.3400,W,CSQ,147.9400,W,100.0,A,K6RFK Woodinville
⋮,,,,,,,,,,,
V71,Repeater,V71SLY,Snohomish Co Lynwood,146.7800,W,CSQ,146.1800,W,D172,A,WA7DEM Lynwood
V72,Repeater,V72SGF,Snohomish Co Granite Falls,146.9200,W,CSQ†,146.3200,W,123.0,A,WA7DEM Green Mt
V73,Repeater,V73KSD,Kitsap Co Silveradale,145.4300,W,CSQ†,144.8300,W,88.5,A,KD7WDG Silverdale
V74,Repeater,V74PGR,Pierce Co Grass,145.3700,W,CSQ,144.7700,W,136.5,A,W7AAO Grass Mt; WA EMD R5
V75,Repeater,V75PCP,Pierce Co Cap Pk,145.4700,W,CSQ†,144.8700,W,100.0,A,K7CPR Capitol Pk; WA EMD R3
V76,Repeater,V76ISL,Island Co South,147.2200,W,CSQ†,147.8200,W,127.3,A,W7AVM Clinton
V77,Repeater,V77GRH,Gray's Harbor Co VHF,145.3900,W,CSQ,144.7900,W,118.8,A,W7EOC Cosmopolis
V78,Repeater,V78KCR,Kittitas Co,147.3600,W,CSQ,147.9600,W,131.8,A,WR7KCR Cle Elum (Sky Meadows)
⋮,,,,,,,,,,,
V81,Repeater,V81GLD,WW7RA Gold VHF,146.6200,W,CSQ†,146.0200,W,103.5,A,wide area
V82,Repeater,V82BFW,K7PG Baw Faw,147.0600,W,CSQ†,147.6600,W,110.9,A,wide area; Lewis Co
V83,Repeater,V83SLB,K7SLB Cougar,146.4750,W,CSQ,147.4750,W,110.9,A,wide area; note non-standard split
V84,Repeater,V84SMP,WR7KCR Stampede Pass,147.3600,W,CSQ,147.9600,W,141.3,A,I-90 travel
V85,Repeater,V85EBG,WR7KCR Ellensburg,146.7200,W,CSQ,146.1200,W,131.8,A,I-90 travel
V86,Repeater,V86LAR,W7LT Larch Mt,146.8400,W,CSQ,146.2400,W,CSQ,A,I-5 travel; Multnomah Co (OR) ARES
Analog Voice — UHF (70cm),,,,,,,,,,,
U01,Repeater,U01CLM,Columbia Center,444.5500,W,CSQ†,449.5500,W,141.3,A,coordination; W7ACS; Allstar 48844
U02,Simplex,U02CLO,Columbia Center Output,444.5500,W,CSQ,444.5500,W,141.3,A,coordination simplex
U03,Repeater,U03BH1,Beacon Hill 1,440.5250,W,CSQ†,445.5250,W,141.3,A,tactical; W7ACS; Beacon Tower
U04,Repeater,U04BH2,Beacon Hill 2,442.3000,W,CSQ†,447.3000,W,141.3,A,tactical; W7ACS; Beacon Tower; Allstar 48832
U05,Repeater,U05CH1,Capitol Hill 1,443.0250,W,CSQ†,448.0250,W,141.3,MF,tactical; W7ACS; Kaiser Permanente
U06,Repeater,U06CH2,Capitol Hill 2,442.8750,W,CSQ†,447.8750,W,141.3,A,tactical; W7ACS; Capitol Park
U07,Repeater,U07MAG,Magnolia,443.4750,W,CSQ†,448.4750,W,141.3,A,tactical; W7ACS; Allstar 48836
U08,Repeater,U08MPL,Maple Leaf,443.6500,W,CSQ†,448.6500,W,141.3,A,tactical; W7ACS
U09,Repeater,U09LFP,Lake Forest Park,440.6000,W,CSQ†,445.6000,W,141.3,A,tactical; W7ACS; Allstar 48834
